customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,address,postcode,state
77,Shermie,Andrin,Male,79,1989-09-12,Automation Specialist IV,Financial Services,Mass Customer,2 Clyde Gallagher Lane,4170,QLD
78,Arch,Van der Kruis,Male,37,1985-03-12,Business Systems Development Analyst,Argiculture,Affluent Customer,97455 Loeprich Lane,2153,New South Wales
79,Tybi,Silliman,Female,76,1968-10-02,Account Executive,Manufacturing,Mass Customer,9527 Ridgeway Street,2073,New South Wales
80,Pablo,Small,Male,11,1978-04-24,Data Coordiator,Entertainment,Mass Customer,7 Jackson Point,3561,VIC
81,Bee,Blazewicz,Female,58,1986-09-04,0,Health,High Net Worth,74 Anniversary Junction,2330,New South Wales
82,Gleda,Cokely,Female,93,1965-06-28,Software Test Engineer III,Property,High Net Worth,2083 Spaight Court,3977,VIC
83,Kerr,Simmell,Male,97,1967-02-26,Internal Auditor,IT,Mass Customer,2796 Caliangt Circle,2204,New South Wales
84,Rich,Mathiasen,Male,78,1958-02-07,Accountant III,0,Mass Customer,96061 Ludington Place,2086,New South Wales
85,Kane,Tixall,Male,1,1958-05-21,Analyst Programmer,0,Mass Customer,5037 Merchant Crossing,2226,New South Wales
86,Job,Sleney,Male,75,1989-03-04,Occupational Therapist,Health,High Net Worth,289 Haas Street,2075,New South Wales
87,Fields,Langdon,Male,78,1974-04-23,Editor,Financial Services,Mass Customer,4423 Bartelt Parkway,2038,New South Wales
88,Malynda,Tumber,Female,41,1966-02-03,Help Desk Operator,Property,High Net Worth,5 Grim Center,2069,New South Wales
89,Benedicto,Hoxey,Male,74,1967-01-22,Speech Pathologist,Health,Mass Customer,73042 Roth Crossing,2100,New South Wales
90,Cary,Garron,Male,76,1984-11-12,Quality Control Specialist,Manufacturing,Mass Customer,171 Fordem Junction,2233,New South Wales
91,Dylan,Meaker,Male,69,1955-02-24,Senior Financial Analyst,Financial Services,Affluent Customer,2640 Manley Point,2166,New South Wales
92,Jodee,Judkins,Female,98,1980-09-11,Recruiting Manager,Health,Mass Customer,3 Hintze Pass,3133,VIC
93,Gordon,Gowar,Male,63,1976-07-16,Project Manager,Retail,Mass Customer,2 Mcbride Road,3070,VIC
94,Wallache,Simchenko,Male,33,1974-08-07,Civil Engineer,Manufacturing,Mass Customer,67234 Transport Hill,2777,New South Wales
95,Nomi,Mallinder,Female,67,1960-12-25,Software Engineer III,Manufacturing,Affluent Customer,72 Dorton Crossing,3133,VIC
96,Heath,Olford,Male,33,1968-08-31,Nuclear Power Engineer,Manufacturing,Mass Customer,6 Heffernan Center,2125,New South Wales
97,Arne,Corain,Male,16,1979-07-27,Community Outreach Specialist,Financial Services,Mass Customer,6088 Roxbury Hill,2766,New South Wales
98,Allianora,Babalola,Female,19,1956-03-17,Safety Technician IV,Health,Mass Customer,105 Shelley Alley,2209,New South Wales
99,Reggie,Mulliner,Male,97,1998-06-13,VP Accounting,Financial Services,Mass Customer,079 Merry Park,2160,New South Wales
100,Tripp,Steed,Male,80,1968-05-11,General Manager,Financial Services,Mass Customer,8722 Summit Alley,2065,New South Wales
101,Goran,Kwietek,Male,83,1975-12-29,Nurse Practicioner,Manufacturing,High Net Worth,9554 Artisan Pass,2150,New South Wales
102,Langsdon,Tranfield,Male,51,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,55850 Butterfield Road,2168,New South Wales
103,Ethyl,Runham,Female,49,1997-04-21,Product Engineer,Financial Services,Affluent Customer,68 Little Fleur Crossing,2046,New South Wales
104,Odille,Panketh,Female,40,1978-06-06,Automation Specialist II,Health,Mass Customer,85688 New Castle Crossing,4171,QLD
105,Maribeth,Pristnor,Female,25,2001-09-17,Recruiting Manager,Manufacturing,Mass Customer,8611 Loomis Lane,2155,New South Wales
106,Glyn,0,Male,54,1966-07-03,Software Test Engineer III,Health,High Net Worth,7909 Pierstorff Crossing,2517,New South Wales
107,Pris,Stallebrass,Female,97,1990-07-01,Nurse Practicioner,Financial Services,Mass Customer,01 Muir Parkway,2096,New South Wales
108,Kayle,Mingaud,Female,4,1994-03-14,0,0,High Net Worth,0410 Division Junction,2750,New South Wales
109,Cody,Blabey,Male,16,1978-12-11,Marketing Assistant,0,Affluent Customer,41 Service Lane,2217,New South Wales
110,Sascha,St. Quintin,Male,23,2000-07-31,0,Financial Services,Affluent Customer,5 Moose Road,3977,VIC
111,Cele,Evason,Female,65,1993-08-29,Analyst Programmer,0,Mass Customer,7342 Fieldstone Junction,2093,New South Wales
112,Shena,Parren,Female,88,1975-08-12,Marketing Manager,Retail,High Net Worth,0 David Terrace,3204,VIC
113,Gage,Nickless,Male,67,1956-05-06,Staff Scientist,0,Mass Customer,15239 Northwestern Point,4300,QLD
114,Sunny,Swindells,Female,10,1985-10-23,Teacher,Entertainment,Affluent Customer,60 Oneill Street,2170,New South Wales
115,Alberik,Mereweather,Male,77,1981-12-21,Account Executive,Health,Mass Customer,8194 Sachtjen Drive,3844,VIC
116,Scottie,Swiffen,Male,49,1999-02-05,Assistant Professor,Manufacturing,Affluent Customer,0349 Farmco Terrace,2168,New South Wales
117,Nance,Suttling,Female,75,1982-02-23,Marketing Manager,Manufacturing,Mass Customer,185 Pennsylvania Way,4226,QLD
118,Prentice,Pearmain,Male,43,1959-11-12,Budget/Accounting Analyst IV,0,High Net Worth,432 Longview Circle,3192,VIC
119,Willey,Chastanet,Male,9,1981-12-04,Associate Professor,0,High Net Worth,5814 Bunker Hill Street,3070,VIC
120,Sloan,Wagg,Male,80,1978-09-02,Legal Assistant,Financial Services,High Net Worth,7 Carberry Crossing,2485,New South Wales
121,Myles,Pauncefort,Male,82,1957-10-02,Graphic Designer,Manufacturing,Mass Customer,53 Talisman Trail,2097,New South Wales
122,Colver,Itter,Male,87,1979-04-19,Quality Control Specialist,Financial Services,Mass Customer,5 Prairie Rose Road,4817,QLD
123,Almeta,Kalinsky,Female,85,1988-12-03,Analyst Programmer,Financial Services,High Net Worth,84 Florence Parkway,2516,New South Wales
124,Kath,Cunney,Female,27,1995-05-03,Administrative Assistant II,Health,High Net Worth,739 Elmside Way,3074,VIC
125,Darrelle,Antoniewski,Female,94,1960-03-17,Computer Systems Analyst II,Property,Mass Customer,684 Northport Circle,2213,New South Wales
126,Norman,Cliff,Male,53,1992-10-15,Administrative Officer,Health,Mass Customer,8 Hagan Hill,4508,QLD
127,Merrili,Whitear,Female,81,1974-12-03,Compensation Analyst,Financial Services,Mass Customer,0 Pearson Crossing,4405,QLD
128,Isidro,Cypler,Male,73,1977-07-17,Systems Administrator III,Property,Mass Customer,10918 Merry Way,2452,New South Wales
129,Weidar,Silkstone,Male,64,1985-07-20,Financial Advisor,Financial Services,High Net Worth,97 Coolidge Trail,2142,New South Wales
130,Raddy,Delete,Male,32,1997-07-18,Chemical Engineer,Manufacturing,Mass Customer,58 Helena Hill,2205,New South Wales
131,Jana,Renyard,Female,57,1964-10-16,Administrative Officer,Retail,High Net Worth,352 Forster Place,4132,QLD
132,Celesta,Willavoys,Female,5,1963-07-07,Web Designer I,Manufacturing,Mass Customer,12306 Lawn Street,2145,New South Wales
133,Eldridge,Fiddeman,Male,12,1977-06-13,VP Accounting,Financial Services,Mass Customer,19392 7th Trail,4744,QLD
134,Merna,McCulloch,Female,34,1997-08-01,Legal Assistant,Telecommunications,Affluent Customer,1605 Northfield Junction,2158,New South Wales
135,Rosalia,Sigart,Female,18,1975-01-18,Internal Auditor,IT,Mass Customer,9674 Graceland Junction,3201,VIC
136,Mel,Bennet,Male,46,1973-05-26,Senior Developer,Manufacturing,High Net Worth,638 Thackeray Junction,4178,QLD
137,Vaughn,Artin,Male,27,1987-11-21,Office Assistant II,Property,High Net Worth,869 Forster Circle,2112,New South Wales
138,Onofredo,Franc,Male,5,1985-04-28,Recruiter,Financial Services,Affluent Customer,0 Golden Leaf Crossing,2033,New South Wales
139,Gar,0,Male,1,1964-07-28,Operator,Telecommunications,Affluent Customer,215 Lindbergh Trail,4401,QLD
140,Morrie,Flaxon,Male,9,1994-05-20,Programmer Analyst III,Manufacturing,Mass Customer,829 Washington Crossing,3186,VIC
141,Townsend,Trobe,Male,67,1954-06-25,Teacher,Financial Services,High Net Worth,585 Loomis Court,2097,New South Wales
142,Bentley,Fortesquieu,Male,57,1967-08-07,Quality Engineer,Health,Affluent Customer,68063 Blue Bill Park Center,3058,VIC
143,Kendall,Figg,Male,19,1957-09-01,Operator,Argiculture,Mass Customer,15673 Farmco Point,4017,QLD
144,Jory,Barrabeale,U,71,0,Environmental Tech,IT,Mass Customer,22 Oxford Junction,2315,New South Wales
145,Filippo,Ferrara,Male,33,1997-07-21,Account Executive,Financial Services,Mass Customer,7245 Cottonwood Center,2285,New South Wales
146,Ricoriki,Matlock,Male,34,1985-04-08,Quality Control Specialist,Manufacturing,Mass Customer,20382 Spohn Alley,2219,New South Wales
147,Rea,Pattrick,Female,32,1973-12-06,Analog Circuit Design manager,Health,Mass Customer,12375 Cambridge Pass,2065,New South Wales
148,Jaquith,Maffey,Female,69,1981-05-08,Programmer Analyst III,0,Mass Customer,03 Granby Parkway,3216,VIC
149,Drucy,Kausche,Female,41,1995-01-31,Research Nurse,Health,Mass Customer,939 Coleman Pass,4509,QLD
150,Bradly,Crosse,Male,6,1983-08-23,Cost Accountant,Financial Services,Affluent Customer,69914 Bowman Place,2330,NSW
151,Donnie,Brimson,Male,36,1965-01-31,Marketing Manager,Manufacturing,Mass Customer,34457 Springview Street,2759,NSW
152,Stephana,Cardew,Female,5,1981-03-03,Compensation Analyst,Financial Services,Mass Customer,992 Old Shore Trail,2069,NSW
153,Lorilyn,Walshe,Female,73,1977-07-28,Assistant Media Planner,Entertainment,Mass Customer,453 Sheridan Street,2747,NSW
154,Faydra,Dulieu,Female,90,1958-02-13,Junior Executive,0,Mass Customer,8 Mccormick Crossing,2227,NSW
155,Orran,Bogges,Male,4,1985-12-28,Quality Engineer,Manufacturing,Mass Customer,63344 Holmberg Crossing,2025,NSW
156,Shayla,Rimmington,Female,23,1979-09-09,Cost Accountant,Financial Services,Mass Customer,9 Huxley Circle,3191,VIC
157,Chad,Houtby,Male,97,1974-11-23,Financial Advisor,Financial Services,Affluent Customer,0 Hazelcrest Road,3025,VIC
158,Hamlin,Odams,Male,99,1984-09-03,Internal Auditor,0,Affluent Customer,2 Continental Plaza,2263,NSW
159,Arin,Matskevich,Male,90,1987-05-12,Research Nurse,Health,Affluent Customer,80 Duke Terrace,2233,NSW
160,Wake,Durning,Male,5,1964-07-15,Registered Nurse,Health,Mass Customer,860 Hintze Lane,2154,NSW
161,Tadd,Bloss,Male,49,1976-01-21,0,0,Mass Customer,3723 Bunker Hill Circle,2065,NSW
162,Port,Acuna,Male,90,1979-08-12,Nurse Practicioner,IT,Mass Customer,5 Corry Court,2119,NSW
163,Kessia,Helder,Female,58,1976-09-06,Librarian,Entertainment,High Net Worth,65105 Sommers Pass,3016,VIC
164,Aarika,Van Vuuren,Female,55,1999-08-07,Senior Editor,Retail,Affluent Customer,2054 Sommers Pass,4113,QLD
165,Aldon,Roelofs,Male,61,1984-03-25,Administrative Officer,Argiculture,Mass Customer,22371 Miller Trail,2032,NSW
166,Elston,Oleszczak,Male,54,1955-06-12,Structural Analysis Engineer,Manufacturing,Affluent Customer,35807 Oneill Way,4300,QLD
167,Nathalie,Tideswell,Female,95,1969-10-27,0,Health,High Net Worth,75612 Clarendon Junction,4352,QLD
168,Reggie,Broggetti,U,8,0,General Manager,IT,Affluent Customer,16 Golf View Center,3020,VIC
169,Alfy,Bruhnke,Male,20,1957-10-19,Data Coordiator,Telecommunications,High Net Worth,93 Iowa Junction,2116,NSW
170,Jammal,Gever,Male,80,1975-06-02,Pharmacist,Health,High Net Worth,48 Cascade Terrace,3057,VIC
171,Halli,Davidoff,Female,62,1970-12-04,Assistant Manager,Manufacturing,Mass Customer,13950 Jackson Avenue,2099,NSW
172,Hilton,Carney,Male,54,1988-09-12,Editor,Manufacturing,Affluent Customer,35386 Mockingbird Road,3749,VIC
173,Ebba,Hanselmann,Female,99,1997-01-02,General Manager,Health,Affluent Customer,2 Randy Point,2766,NSW
174,Catie,Tosspell,Female,93,1989-11-26,Food Chemist,Health,Mass Customer,6898 Redwing Park,2148,NSW
175,Templeton,Hambrook,Male,36,1975-11-28,Quality Engineer,Manufacturing,Affluent Customer,52273 Bay Place,3145,VIC
176,Angelo,Clayal,Male,39,1992-04-13,Accountant I,Property,Mass Customer,272 Montana Avenue,2021,NSW
177,Ondrea,Pablos,Female,25,1989-11-09,Professor,Financial Services,High Net Worth,82520 Mifflin Drive,2333,NSW
178,Matthieu,Bertelmot,Male,2,1967-04-03,0,0,Affluent Customer,8 Dixon Parkway,2783,NSW
179,Esteban,Sewill,Male,23,1966-05-11,Environmental Tech,Manufacturing,High Net Worth,4 Dayton Terrace,2280,NSW
180,Trisha,Neasham,Female,16,1971-09-17,Web Designer III,Argiculture,Affluent Customer,216 Barnett Junction,4120,QLD
181,Pavla,Braunle,Female,49,1982-11-21,Senior Editor,Manufacturing,Mass Customer,8256 Annamark Court,3638,VIC
182,Lydon,Dahlman,Male,99,1992-11-20,Sales Associate,Financial Services,Affluent Customer,83012 Dapin Lane,4300,QLD
183,Dannie,Hissie,Female,7,1997-08-05,Geologist III,Retail,Affluent Customer,8 Haas Park,2074,NSW
184,Nappie,Paolo,Male,40,1971-12-13,Marketing Manager,Manufacturing,High Net Worth,50 Meadow Ridge Way,2880,NSW
185,Crosby,Walcot,Male,80,1979-12-13,0,Property,Mass Customer,3567 Northfield Lane,2430,NSW
186,Mireielle,Jeppe,Female,46,1974-05-06,Software Test Engineer I,Financial Services,Mass Customer,0059 Brentwood Road,4560,QLD
187,Pincas,Ather,Male,97,1954-01-28,Structural Engineer,0,Mass Customer,0274 Oneill Alley,2088,NSW
188,Audry,Seine,Female,54,1975-06-22,Safety Technician II,Property,High Net Worth,4179 Carioca Terrace,2220,NSW
189,Umberto,Torricella,Male,73,1981-07-19,Safety Technician I,Financial Services,Affluent Customer,59265 Sullivan Junction,3031,VIC
190,Hayley,Girardengo,Female,42,1979-02-04,Registered Nurse,Health,Affluent Customer,7 Warbler Point,2250,NSW
191,Christopher,Heining,Male,22,1960-04-27,Help Desk Operator,0,Affluent Customer,3 Buell Park,2261,NSW
192,Goldi,Osler,Female,2,1978-11-19,Junior Executive,Health,Mass Customer,0 Bay Center,3196,VIC
193,Foss,Hardes,Male,13,1964-07-22,Recruiting Manager,Manufacturing,Mass Customer,10878 Waywood Way,4352,QLD
194,Ursala,Ferrai,Female,4,1974-11-16,Web Developer III,Financial Services,Affluent Customer,362 Mayer Terrace,4680,QLD
195,Talyah,Rylatt,Female,34,1958-11-14,Project Manager,Manufacturing,Mass Customer,43 Upham Crossing,3143,VIC
196,Swen,Odhams,Male,90,1966-02-22,Programmer Analyst II,Manufacturing,High Net Worth,0 Superior Drive,2747,NSW
197,Avis,0,Female,32,1977-01-27,0,0,High Net Worth,8890 Golden Leaf Street,2063,NSW
198,Vanya,Gumb,Female,82,1981-11-29,Assistant Media Planner,Entertainment,Mass Customer,5484 Hagan Crossing,3021,VIC
199,Verla,Alven,Female,61,1978-02-13,Junior Executive,Health,Mass Customer,7451 Jana Lane,2138,NSW
200,Hube,Weald,Male,7,1957-02-04,Physical Therapy Assistant,Property,Affluent Customer,7 Havey Point,4005,QLD
201,Salem,Huie,Male,45,1966-04-20,Design Engineer,Manufacturing,Mass Customer,32 Steensland Plaza,2233,NSW
202,Audie,Pillinger,Female,38,1963-06-24,Librarian,Entertainment,Affluent Customer,107 Elmside Parkway,4811,QLD
203,Donovan,Conry,Male,71,1964-01-13,Senior Quality Engineer,Argiculture,Mass Customer,2 Gina Junction,2085,NSW
204,Thorny,Hackworth,Male,56,1976-10-01,Editor,Financial Services,Mass Customer,4 Londonderry Lane,3084,VIC
205,Rolfe,Kellard,Male,18,1958-12-01,Administrative Assistant II,Financial Services,Mass Customer,39716 Vera Junction,3170,VIC
206,Mari,Chevolleau,Female,98,1954-07-19,Statistician I,0,Mass Customer,183 Ronald Regan Street,2066,NSW
207,Adena,Whyman,Female,9,1994-08-10,0,0,Mass Customer,2 Thierer Road,4113,QLD
208,Rutter,Excell,Male,57,1994-10-31,Office Assistant III,Property,High Net Worth,056 Stone Corner Alley,4078,QLD
209,Udall,Bellard,Male,9,1957-08-28,Analog Circuit Design manager,0,Affluent Customer,528 Mandrake Crossing,2222,NSW
210,Albrecht,Thomasson,Male,50,1963-11-18,Assistant Manager,Property,Mass Customer,19969 5th Parkway,3152,VIC
211,Beitris,0,Female,6,1974-03-04,VP Marketing,Manufacturing,Mass Customer,78 Rockefeller Park,2159,NSW
212,Nanice,Ellse,Female,21,2001-11-19,Desktop Support Technician,IT,Affluent Customer,417 Transport Trail,4503,QLD
213,Lockwood,Exroll,Male,13,1996-05-14,Actuary,Financial Services,High Net Worth,6327 Lunder Crossing,4655,QLD
214,Jeramie,Cellier,Male,82,1957-11-29,Food Chemist,Health,Mass Customer,811 Tony Road,4220,QLD
215,Debera,Foxworthy,Female,37,1974-06-24,Assistant Professor,Retail,High Net Worth,0 Northport Court,4012,QLD
216,Cinderella,Parcall,Female,12,1995-01-12,Quality Engineer,Financial Services,High Net Worth,231 Havey Court,2153,NSW
217,Jeralee,Quartly,Female,63,1979-12-09,0,Manufacturing,High Net Worth,603 Kenwood Avenue,2070,NSW
218,Stefa,Dunnan,Female,37,1993-08-06,Administrative Officer,Property,High Net Worth,09040 Myrtle Parkway,2015,NSW
219,Markus,Mughal,Male,9,1964-11-25,Database Administrator III,Health,Mass Customer,05241 Shelley Park,2776,NSW
220,Jeniffer,Apark,Female,79,1954-05-10,Electrical Engineer,Manufacturing,High Net Worth,7 Pankratz Point,3011,VIC
221,Mara,Bloore,Female,14,1980-03-10,Tax Accountant,Manufacturing,Mass Customer,51 Crescent Oaks Parkway,2761,NSW
222,Nev,Larive,Male,89,1978-09-03,Clinical Specialist,Health,Mass Customer,49 Emmet Junction,2015,NSW
223,Ossie,Meaton,Male,13,1983-11-26,VP Sales,0,Affluent Customer,78 Surrey Place,2502,NSW
224,Morgun,Girvan,Male,2,1967-12-03,Compensation Analyst,Financial Services,Affluent Customer,6236 Summerview Terrace,2110,NSW
225,Brittaney,Pring,Female,84,1977-03-11,Pharmacist,Health,Affluent Customer,682 Sheridan Avenue,2566,NSW
